Distance from Center (cmd=annotatePeaks.pl MYC_Cluster2_peaks.bed hg38 -d MYC_VEH_TagDir -hist 50 -size 5000)	MYC_VEH_TagDir Coverage	MYC_VEH_TagDir + Tags	MYC_VEH_TagDir - Tags
-2500	1.17219895287959	0.00491308900523564	0.00492198952879585
-2450	1.15595549738221	0.00489528795811522	0.00467277486910998
-2400	1.15239528795812	0.00484188481675396	0.00472617801047124
-2350	1.12613874345551	0.0046905759162304	0.00484188481675396
-2300	1.07807591623037	0.00395183246073301	0.00424554973821992
-2250	1.04047120418849	0.0037560209424084	0.00377382198952882
-2200	1.02066753926702	0.00426335078534034	0.00425445026178014
-2150	0.993520942408385	0.00389842931937175	0.00368481675392673
-2100	0.980615183246081	0.00387172774869113	0.00387172774869113
-2050	0.974829842931945	0.00382722513089008	0.00389842931937175
-2000	0.96993455497383	0.00356020942408379	0.00361361256544505
-1950	0.989738219895296	0.00399633507853406	0.00411204188481678
-1900	0.985287958115191	0.00377382198952882	0.00398743455497385
-1850	0.981950261780113	0.00362251308900526	0.00376492146596861
-1800	1.01310209424085	0.00436125654450265	0.00389842931937175
-1750	1.03001308900524	0.00392513089005238	0.00467277486910998
-1700	1.03157068062828	0.00391623036649217	0.00405863874345552
-1650	1.07184554973823	0.00448586387434558	0.00410314136125657
-1600	1.10188481675394	0.00423664921465972	0.00447696335078537
-1550	1.10277486910996	0.00448586387434558	0.00420994764397909
-1500	1.14928010471205	0.00461937172774872	0.00481518324607333
-1450	1.17397905759163	0.00407643979057594	0.00495759162303669
-1400	1.18888743455498	0.00468167539267019	0.0046905759162304
-1350	1.22604712041886	0.00524240837696339	0.00438795811518328
-1300	1.27833769633509	0.00548272251308905	0.00537591623036653
-1250	1.30681937172776	0.00510890052356025	0.00564293193717282
-1200	1.38202879581153	0.0056251308900524	0.00535811518324611
-1150	1.45145287958116	0.00561623036649219	0.00517120418848171
-1100	1.53066753926703	0.00607905759162308	0.00548272251308905
-1050	1.62078534031415	0.00663979057591628	0.00602565445026183
-1000	1.75963350785341	0.00717382198952884	0.00710261780104716
-950	1.89848167539268	0.00785916230366495	0.00720052356020946
-900	2.10163612565446	0.00835759162303664	0.00750314136125656
-850	2.37020942408378	0.00973717277486907	0.00793036649214661
-800	2.73958115183247	0.0111523560209423	0.00951465968586384
-750	3.18816753926702	0.0128790575916229	0.0104225130890052
-700	3.7611387434555	0.0141251308900523	0.012585340314136
-650	4.47518324607329	0.0187534031413612	0.0145879581151831
-600	5.31962041884815	0.0222691099476438	0.0181926701570681
-550	6.30735602094237	0.0273691099476437	0.0217528795811517
-500	7.42014397905756	0.0319350785340308	0.0270753926701567
-450	8.64530104712038	0.0368214659685855	0.030751308900523
-400	9.94455497382195	0.0419837696335071	0.0358335078534023
-350	11.266282722513	0.047706806282722	0.0414853403141355
-300	12.5495157068062	0.0544445026178006	0.0472083769633505
-250	13.7884685863874	0.0607282722513086	0.0533853403141357
-200	14.8963612565445	0.0630513089005231	0.0594910994764391
-150	15.7120942408377	0.0660685863874336	0.0632649214659676
-100	16.2988612565445	0.0681068062827219	0.0657392670157059
-50	16.6557722513089	0.070848167539266	0.0679732984293188
0	16.6737958115183	0.0695397905759153	0.0714712041884808
50	16.3048691099476	0.0658193717277483	0.0680356020942401
100	15.7634947643979	0.0629623036649208	0.0663356020942404
150	15.0648036649215	0.0593397905759159	0.0636120418848159
200	14.0630497382199	0.0544267015706799	0.0598827225130884
250	12.9131020942408	0.0494513089005231	0.0539460732984287
300	11.7940837696335	0.0447429319371722	0.049486910994764
350	10.625667539267	0.0408445026178002	0.0471549738219892
400	9.32774869109946	0.033519371727748	0.0399633507853395
450	8.17869109947642	0.0292560209424079	0.0339732984293188
500	7.11329842931936	0.024618848167539	0.0302617801047116
550	6.12289267015707	0.0214146596858637	0.0248680628272249
600	5.26643979057593	0.018619895287958	0.0210586387434554
650	4.57375654450264	0.0166528795811517	0.0191717277486911
700	3.92913612565449	0.0137602094240837	0.0161900523560209
750	3.4026701570681	0.0117931937172774	0.0139738219895287
800	2.9436256544503	0.010075392670157	0.0128345549738219
850	2.54465968586392	0.00872251308900522	0.0102178010471204
900	2.20666230366496	0.00777015706806285	0.00888272251308898
950	1.94609947643983	0.00648848167539272	0.00795706806282725
1000	1.73938481675397	0.00627486910994769	0.00695130890052361
1050	1.59252617801051	0.00575863874345554	0.00677329842931942
1100	1.47414921465973	0.0056251308900524	0.00558062827225135
1150	1.37757853403145	0.00479738219895291	0.00573193717277491
1200	1.32150523560213	0.00520680628272255	0.00520680628272255
1250	1.27989528795816	0.00502879581151836	0.00539371727748695
1300	1.22916230366496	0.00471727748691103	0.00513560209424088
1350	1.19645287958119	0.00482408376963354	0.0046905759162304
1400	1.19155759162308	0.00457486910994768	0.00477068062827229
1450	1.15328534031418	0.00429895287958118	0.00478848167539271
1500	1.12079842931941	0.00471727748691103	0.0044057591623037
1550	1.10544502617805	0.0046905759162304	0.00462827225130893
1600	1.08675392670161	0.00464607329842935	0.00471727748691103
1650	1.04914921465973	0.00377382198952882	0.00414764397905762
1700	1.01777486910999	0.00402303664921469	0.00380052356020945
1750	0.984620418848207	0.00351570680628274	0.00381832460732987
1800	0.953023560209464	0.0036581151832461	0.00405863874345552
1850	0.919869109947684	0.00339109947643981	0.00401413612565448
1900	0.920759162303704	0.00379162303664924	0.00316858638743457
1950	0.935890052356061	0.00397853403141364	0.00367591623036652
2000	0.961924083769673	0.00372931937172777	0.00358691099476442
2050	0.984175392670197	0.00390732984293196	0.00398743455497385
2100	0.993743455497422	0.0038450261780105	0.0040319371727749
2150	1.02511780104716	0.00418324607329846	0.00381832460732987
2200	1.0438089005236	0.00443246073298432	0.004503664921466
2250	1.0311256544503	0.00364031413612568	0.00422774869109951
2300	1.04536649214664	0.00452146596858642	0.00391623036649217
2350	1.05137434554978	0.00396963350785343	0.00489528795811522
2400	1.00820680628276	0.00354240837696337	0.00411204188481678
2450	0.99240837696339	0.0040319371727749	0.00408534031413615
2500	1.00909685863878	0.00415654450261783	0.00418324607329846
