Distance from Center (cmd=annotatePeaks.pl ER_Cluster1_peaks.bed hg38 -d ER_TagDir -hist 50 -size 5000)	ER_TagDir Coverage	ER_TagDir + Tags	ER_TagDir - Tags
-2450	1.37937763171408	0.00664835164835165	0.00345714285714286
-2400	1.42908493375783	0.00425494505494506	0.00585054945054945
-2350	1.24268255109377	0.00292527472527473	0.00478681318681319
-2300	1.03142651740783	0.00398901098901099	0.00425494505494506
-2250	0.758036356167197	0.0015956043956044	0.00265934065934066
-2200	0.646194926568758	0.00265934065934066	0.00265934065934066
-2150	0.459792543904693	0.00212747252747253	0.0015956043956044
-2100	0.559207147992195	0.00239340659340659	0.000265934065934066
-2050	0.671048577590634	0.00265934065934066	0.00106373626373626
-2000	0.832597309232823	0.00186153846153846	0.00212747252747253
-1950	0.845024134743761	0.00132967032967033	0.00345714285714286
-1900	0.969292389853137	0.00558461538461539	0.00452087912087912
-1850	1.27996302762658	0.00957362637362638	0.00239340659340659
-1800	1.45393858477971	0.00425494505494506	0.00452087912087912
-1750	1.3545239806922	0.00611648351648352	0.00398901098901099
-1700	1.3545239806922	0.00585054945054945	0.00186153846153846
-1650	1.31724350415939	0.00319120879120879	0.00292527472527473
-1600	1.10598747047345	0.00372307692307692	0.00611648351648352
-1550	0.969292389853137	0.00585054945054945	0.00212747252747253
-1500	1.18054842353908	0.00372307692307692	0.0015956043956044
-1450	1.26753620211564	0.00478681318681319	0.00372307692307692
-1400	1.42908493375783	0.00691428571428572	0.00425494505494506
-1350	1.51607271233439	0.00398901098901099	0.00452087912087912
-1300	1.60306049091096	0.00638241758241759	0.00531868131868132
-1250	2.10013351134846	0.0178175824175824	0.00425494505494506
-1200	2.33624319605628	0.00957362637362638	0.00744615384615385
-1150	2.3113895450344	0.00877582417582418	0.00478681318681319
-1100	2.0131457327719	0.00930769230769231	0.00132967032967033
-1050	1.98829208175003	0.00452087912087912	0.00611648351648352
-1000	1.6154873164219	0.00638241758241759	0.00558461538461539
-950	1.7149019205094	0.0124989010989011	0.00452087912087912
-900	1.88887747766252	0.00611648351648352	0.00292527472527473
-850	1.85159700112971	0.00531868131868132	0.00452087912087912
-800	1.80188969908596	0.0114351648351648	0.00611648351648352
-750	1.95101160521721	0.00585054945054945	0.00319120879120879
-700	2.29896271952347	0.00957362637362638	0.00478681318681319
-650	2.65934065934066	0.0194131868131868	0.00877582417582418
-600	2.92030399507035	0.0151582417582418	0.00664835164835165
-550	3.20612098182192	0.0156901098901099	0.00531868131868132
-500	2.88302351853754	0.0124989010989011	0.00372307692307692
-450	2.70904796138441	0.00638241758241759	0.00638241758241759
-400	2.17469446441409	0.00771208791208792	0.00452087912087912
-350	2.23682859196878	0.0135626373626374	0.00824395604395605
-300	2.36109684707815	0.0103714285714286	0.00558461538461539
-250	2.85816986751566	0.0132967032967033	0.00478681318681319
-200	3.66591352572661	0.0199450549450549	0.00664835164835165
-150	5.41809592276882	0.0311142857142857	0.00877582417582418
-100	10.761630892472	0.0686109890109889	0.0138285714285714
-50	17.3975557153128	0.0888219780219776	0.0196791208791209
0	21.5356886104551	0.073397802197802	0.064621978021978
50	17.75793365513	0.024465934065934	0.0872263736263733
100	10.7119235904283	0.0143604395604396	0.0630263736263736
150	5.50508370134539	0.0167538461538461	0.0287208791208791
200	3.54164527061723	0.00930769230769231	0.0132967032967033
250	2.99486494813598	0.0132967032967033	0.00983956043956044
300	2.68419431036253	0.012232967032967	0.00691428571428572
350	2.58477970627503	0.00691428571428572	0.00585054945054945
400	2.69662113587347	0.0170197802197802	0.00718021978021978
450	3.31796241142036	0.0154241758241758	0.00664835164835165
500	3.8274622573688	0.0143604395604396	0.00558461538461539
550	4.49851083495943	0.0220725274725274	0.0151582417582418
600	4.27482797576256	0.016221978021978	0.0106373626373626
650	3.81503543185786	0.00824395604395605	0.0138285714285714
700	2.82088939098285	0.0103714285714286	0.0111692307692308
750	2.16226763890315	0.0101054945054945	0.00558461538461539
800	2.2119749409469	0.00771208791208792	0.00611648351648352
850	2.05042620930471	0.00718021978021978	0.00398901098901099
900	1.82674335010784	0.00531868131868132	0.00664835164835165
950	1.85159700112971	0.00983956043956044	0.00505274725274725
1000	1.76460922255315	0.00558461538461539	0.00585054945054945
1050	1.75218239704221	0.00558461538461539	0.00478681318681319
1100	1.78946287357502	0.0106373626373626	0.00478681318681319
1150	1.97586525623909	0.0103714285714286	0.00611648351648352
1200	2.1125603368594	0.00983956043956044	0.00425494505494506
1250	1.92615795419534	0.00744615384615385	0.00452087912087912
1300	1.80188969908596	0.00664835164835165	0.00372307692307692
1350	1.73975557153127	0.00797802197802198	0.00372307692307692
1400	1.88887747766252	0.00904175824175825	0.00478681318681319
1450	1.62791414193283	0.00265934065934066	0.00478681318681319
1500	1.51607271233439	0.00585054945054945	0.00611648351648352
1550	1.04385334291876	0.00265934065934066	0.00292527472527473
1600	0.994146040875013	0.00239340659340659	0.00372307692307692
1650	0.857450960254699	0.00372307692307692	0.0015956043956044
1700	1.29238985313752	0.00824395604395605	0.00345714285714286
1750	1.26753620211564	0.00425494505494506	0.00425494505494506
1800	1.36695080620314	0.00611648351648352	0.00425494505494506
1850	1.30481667864845	0.00531868131868132	0.00132967032967033
1900	1.44151175926877	0.00531868131868132	0.00398901098901099
1950	1.41665810824689	0.00585054945054945	0.00478681318681319
2000	1.34209715518127	0.00319120879120879	0.00319120879120879
2050	1.19297524905002	0.00265934065934066	0.00478681318681319
2100	0.857450960254698	0.00212747252747253	0.00452087912087912
2150	0.74560953065626	0.00265934065934066	0.00345714285714286
2200	0.534353496970319	0.00106373626373626	0.00186153846153846
2250	0.646194926568758	0.00212747252747253	0.0015956043956044
2300	0.745609530656259	0.000797802197802198	0.00186153846153846
2350	0.857450960254698	0.00212747252747253	0.00345714285714286
2400	0.79531683270001	0.00212747252747253	0.00452087912087912
2450	0.807743658210948	0.00186153846153846	0.00478681318681319
2500	0.733182705145322	0.00239340659340659	0.00186153846153846
