Distance from Center (cmd=annotatePeaks.pl P300_ER_Cluster3_peaks.bed hg38 -d P300_TagDir -hist 50 -size 5000)	P300_TagDir Coverage	P300_TagDir + Tags	P300_TagDir - Tags
-2500	1.41187464059804	0.00527567567567567	0.00478108108108108
-2450	1.56972397929845	0.00725405405405405	0.00395675675675676
-2400	1.73634272570443	0.00659459459459459	0.00395675675675676
-2350	1.69249568717654	0.00445135135135135	0.00593513513513513
-2300	1.52587694077056	0.00412162162162162	0.00494594594594594
-2250	1.29787234042553	0.00379189189189189	0.00461621621621621
-2200	1.10494537090282	0.0028027027027027	0.00527567567567567
-2150	0.929557216791259	0.00346216216216216	0.00346216216216216
-2100	0.982173663024727	0.00412162162162162	0.00230810810810811
-2050	1.05232892466935	0.0028027027027027	0.0028027027027027
-2000	1.1137147786084	0.00412162162162162	0.00362702702702703
-1950	1.14879240943071	0.00395675675675676	0.0032972972972973
-1900	1.18387004025302	0.00313243243243243	0.00395675675675676
-1850	1.09617596319724	0.00263783783783784	0.00379189189189189
-1800	1.03479010925819	0.00395675675675676	0.00412162162162162
-1750	1.07863714778608	0.00395675675675676	0.00313243243243243
-1700	1.17510063254744	0.00478108108108108	0.00346216216216216
-1650	1.25402530189764	0.00544054054054054	0.0032972972972973
-1600	1.52587694077056	0.00642972972972973	0.00296756756756757
-1550	1.7889591719379	0.00774864864864864	0.00445135135135135
-1500	2.37650948821162	0.0100567567567568	0.00544054054054054
-1450	2.84128809660725	0.0115405405405405	0.0061
-1400	3.08683151236343	0.00939729729729729	0.0102216216216216
-1350	2.98159861989649	0.00989189189189189	0.0100567567567568
-1300	2.49051178838413	0.00692432432432432	0.00939729729729729
-1250	2.16604370327775	0.00659459459459459	0.00725405405405405
-1200	2.08711903392754	0.0084081081081081	0.0061
-1150	2.07834962622197	0.00461621621621621	0.00593513513513513
-1100	2.11342725704428	0.00725405405405405	0.00774864864864864
-1050	2.1835825186889	0.00857297297297297	0.00741891891891891
-1000	2.52558941920644	0.0107162162162162	0.00593513513513513
-950	2.60451408855664	0.00692432432432432	0.00939729729729729
-900	2.5431282346176	0.00807837837837837	0.00857297297297297
-850	2.45543415756182	0.00824324324324324	0.00708918918918919
-800	2.28004600345026	0.00461621621621621	0.0089027027027027
-750	1.91173087981599	0.00544054054054054	0.00873783783783783
-700	1.6661874640598	0.00675945945945946	0.00626486486486486
-650	1.72757331799885	0.00626486486486486	0.00395675675675676
-600	1.74511213341001	0.0061	0.00544054054054054
-550	1.68372627947096	0.00461621621621621	0.00494594594594594
-500	1.74511213341001	0.00494594594594594	0.00593513513513513
-450	1.96434732604945	0.0089027027027027	0.00511081081081081
-400	2.35020126509488	0.00972702702702702	0.00791351351351351
-350	2.40281771132835	0.00774864864864864	0.00741891891891891
-300	2.85005750431282	0.0130243243243243	0.00642972972972973
-250	3.75330649798735	0.0174756756756757	0.00758378378378378
-200	6.26135710178264	0.0377540540540541	0.0112108108108108
-150	12.0140885566418	0.0830918918918929	0.0164864864864865
-100	23.3266244968375	0.137827027027029	0.0258837837837838
-50	36.0334962622201	0.153983783783786	0.054240540540541
0	41.2600632547446	0.10567837837838	0.120516216216218
50	34.1743818286376	0.0570432432432437	0.153983783783786
100	21.6692064404833	0.0326432432432432	0.128924324324326
150	11.6720816561243	0.0176405405405405	0.0680891891891899
200	6.60336400230018	0.0130243243243243	0.0361054054054054
250	4.09531339850489	0.00774864864864864	0.0201135135135135
300	3.10437032777459	0.0103864864864865	0.0108810810810811
