Distance from Center (cmd=annotatePeaks.pl P300_ER_Cluster4_peaks.bed hg38 -d P300_TagDir -hist 50 -size 5000)	P300_TagDir Coverage	P300_TagDir + Tags	P300_TagDir - Tags
-2500	1.58340425531915	0.00732	0.00244
-2450	2.05063829787234	0.00732	0.005368
-2400	2.59574468085106	0.010736	0.006344
-2350	2.51787234042553	0.006832	0.009272
-2300	1.99872340425532	0.00244	0.010248
-2250	1.24595744680851	0.003904	0.00488
-2200	1.11617021276596	0.004392	0.005368
-2150	1.34978723404255	0.006344	0.001464
-2100	1.50553191489362	0.003904	0.003904
-2050	1.68723404255319	0.006344	0.005856
-2000	1.40170212765957	0.003904	0.005856
-1950	1.66127659574468	0.00732	0.003904
-1900	1.60936170212766	0.005368	0.003416
-1850	1.63531914893617	0.005368	0.007808
-1800	1.40170212765957	0.003416	0.002928
-1750	1.58340425531915	0.005368	0.002928
-1700	2.02468085106383	0.009272	0.008296
-1650	2.36212765957447	0.00976	0.006344
-1600	2.44	0.007808	0.005368
-1550	2.49191489361702	0.006832	0.00976
-1500	2.10255319148936	0.00732	0.004392
-1450	2.12851063829787	0.006832	0.010248
-1400	1.81702127659574	0.005856	0.005368
-1350	1.92085106382979	0.007808	0.004392
-1300	1.84297872340425	0.006344	0.007808
-1250	1.84297872340425	0.006832	0.004392
-1200	2.12851063829787	0.00976	0.00488
-1150	2.77744680851064	0.010736	0.005856
-1100	3.14085106382979	0.0122	0.010248
-1050	3.29659574468085	0.010248	0.00976
-1000	3.1668085106383	0.009272	0.010248
-950	2.41404255319149	0.00488	0.010248
-900	2.05063829787234	0.006832	0.008784
-850	1.73914893617021	0.004392	0.004392
-800	2.10255319148936	0.005856	0.00732
-750	1.73914893617021	0.003904	0.006344
-700	1.53148936170213	0.003416	0.010248
-650	1.06425531914894	0.004392	0.003904
-600	1.27191489361702	0.00488	0.002928
-550	1.79106382978723	0.007808	0.003904
-500	2.10255319148936	0.005368	0.006344
-450	2.49191489361702	0.008296	0.006832
-400	2.46595744680851	0.006832	0.010736
-350	3.11489361702128	0.015616	0.008784
-300	4.82808510638298	0.027816	0.006832
-250	6.56723404255319	0.023912	0.01708
-200	7.83914893617021	0.032696	0.02196
-150	10.4608510638298	0.05612	0.021472
-100	17.1578723404255	0.0946719999999999	0.025376
-50	26.1651063829788	0.113704	0.047336
0	30.8893617021277	0.0858879999999999	0.0805199999999999
50	27.852340425532	0.047824	0.117608
100	18.9748936170213	0.029768	0.105896
150	11.3693617021276	0.021472	0.0707599999999999
200	6.93063829787232	0.01464	0.030256
250	5.34723404255318	0.0122	0.0244
300	4.33489361702126	0.014152	0.015616
350	4.36085106382977	0.01708	0.016592
400	4.1791489361702	0.011712	0.011224
450	3.73787234042552	0.008784	0.013176
500	2.67361702127658	0.006832	0.012688
550	2.31021276595743	0.007808	0.009272
600	2.02468085106381	0.00488	0.004392
650	2.07659574468083	0.006344	0.00732
700	1.89489361702126	0.00488	0.007808
750	1.86893617021275	0.00732	0.006832
800	2.07659574468083	0.00732	0.00732
850	2.20638297872339	0.006832	0.00488
900	2.36212765957445	0.00732	0.008296
950	2.2323404255319	0.006832	0.009272
1000	2.15446808510637	0.008296	0.00732
1050	1.94680851063828	0.004392	0.004392
1100	1.89489361702126	0.00488	0.008296
1150	1.66127659574466	0.006344	0.005856
1200	2.05063829787232	0.007808	0.00488
1250	1.92085106382977	0.00244	0.006344
1300	1.81702127659573	0.006832	0.008296
1350	1.94680851063828	0.006344	0.006832
1400	2.38808510638296	0.0122	0.004392
1450	3.01106382978722	0.009272	0.011712
1500	3.73787234042551	0.018056	0.005368
1550	4.12723404255317	0.00976	0.013664
1600	3.60808510638296	0.00732	0.01464
1650	2.69957446808509	0.007808	0.012688
1700	2.25829787234041	0.003904	0.008784
1750	1.92085106382977	0.00244	0.007808
1800	1.68723404255317	0.005856	0.00732
1850	1.79106382978722	0.005368	0.00732
1900	1.89489361702126	0.005856	0.00732
1950	1.60936170212764	0.004392	0.006344
2000	1.37574468085105	0.004392	0.006832
2050	1.42765957446807	0.006832	0.00244
2100	1.58340425531913	0.005368	0.003416
2150	1.71319148936168	0.006344	0.005856
2200	1.68723404255317	0.006344	0.003904
2250	1.94680851063828	0.004392	0.005856
2300	1.68723404255317	0.005368	0.006832
2350	1.29787234042551	0.004392	0.00732
2400	1.19404255319147	0.003904	0.00244
2450	1.42765957446807	0.008296	0.003416
2500	1.86893617021275	0.008784	0.003416
