Distance from Center (cmd=annotatePeaks.pl P300_ER_Cluster1_peaks.bed hg38 -d P300_TagDir -hist 50 -size 5000)	P300_TagDir Coverage	P300_TagDir + Tags	P300_TagDir - Tags
-2500	2.10904255319149	0.0061	0.00671
-2450	1.81702127659574	0.00427	0.01037
-2400	1.62234042553191	0.00366	0.00732
-2350	1.33031914893617	0.00427	0.00488
-2300	1.33031914893617	0.00244	0.00488
-2250	1.29787234042553	0.00305	0.00305
-2200	1.29787234042553	0.00366	0.00732
-2150	1.33031914893617	0.00427	0.0061
-2100	1.42765957446808	0.00488	0.00244
-2050	1.55744680851064	0.00366	0.00732
-2000	1.42765957446808	0.00305	0.00427
-1950	1.55744680851064	0.00488	0.00671
-1900	1.46010638297872	0.00366	0.00549
-1850	1.42765957446808	0.00427	0.0061
-1800	1.26542553191489	0.00488	0.00488
-1750	0.973404255319149	0.00122	0.00427
-1700	0.843617021276596	0.00244	0.00305
-1650	0.876063829787234	0.00488	0.00122
-1600	1.20053191489362	0.00427	0.00366
-1550	1.13563829787234	0.00366	0.00366
-1500	1.13563829787234	0.00427	0.00427
-1450	1.26542553191489	0.0061	0.00366
-1400	1.20053191489362	0.00366	0.00244
-1350	1.42765957446809	0.00427	0.00427
-1300	1.525	0.0061	0.00366
-1250	1.81702127659574	0.0061	0.0061
-1200	1.65478723404255	0.00366	0.00671
-1150	1.46010638297872	0.00549	0.0061
-1100	1.26542553191489	0.00305	0.00427
-1050	1.1031914893617	0.00244	0.00366
-1000	0.973404255319149	0.00427	0.00427
-950	1.1031914893617	0.00549	0.00366
-900	1.42765957446809	0.0061	0.00122
-850	1.58989361702128	0.00732	0.00488
-800	1.65478723404255	0.0061	0.00549
-750	1.46010638297872	0.00305	0.00183
-700	1.62234042553192	0.0061	0.00671
-650	1.65478723404255	0.00671	0.00427
-600	2.01170212765957	0.00671	0.00427
-550	2.6281914893617	0.01281	0.00732
-500	2.95265957446808	0.01037	0.00915
-450	2.95265957446808	0.00854	0.01098
-400	2.85531914893617	0.0122	0.00671
-350	2.72553191489362	0.00793	0.00793
-300	2.66063829787234	0.00488	0.00915
-250	2.95265957446808	0.0183	0.00854
-200	4.28297872340426	0.01952	0.00976
-150	7.94946808510638	0.04819	0.01098
-100	17.2617021276596	0.12139	0.02135
-50	28.6180851063831	0.11773	0.03904
0	34.1340425531916	0.0860099999999999	0.0890599999999999
50	27.7744680851065	0.0305	0.1403
100	16.3207446808511	0.0244	0.11041
150	7.98191489361703	0.01281	0.05002
200	4.99680851063831	0.01403	0.02379
250	3.24468085106384	0.00671	0.01464
300	3.27712765957448	0.01281	0.00915
350	2.75797872340427	0.00793	0.00793
400	2.72553191489363	0.0061	0.01281
450	2.66063829787235	0.00976	0.00671
500	3.3744680851064	0.01525	0.00915
550	4.0558510638298	0.01403	0.0122
600	3.92606382978725	0.00976	0.01159
650	3.66648936170214	0.01037	0.01525
700	2.85531914893618	0.00793	0.01098
750	2.56329787234044	0.00854	0.00976
800	2.36861702127661	0.00976	0.00732
850	2.07659574468086	0.0061	0.00732
900	1.65478723404257	0.00427	0.00366
950	1.52500000000001	0.00244	0.00671
1000	1.4276595744681	0.00427	0.00427
1050	1.33031914893618	0.00305	0.00671
1100	1.16808510638299	0.00244	0.00488
1150	1.13563829787235	0.00427	0.00427
1200	1.26542553191491	0.00488	0.00427
1250	1.26542553191491	0.00305	0.00488
1300	1.23297872340427	0.00366	0.00366
1350	1.16808510638299	0.00366	0.00427
1400	1.0058510638298	0.00244	0.00488
1450	0.973404255319161	0.00427	0.00244
1500	1.0058510638298	0.00427	0.00244
1550	1.29787234042554	0.0061	0.00427
1600	1.4276595744681	0.00549	0.00183
1650	1.36276595744682	0.00244	0.00549
1700	1.0058510638298	0.00122	0.00427
1750	0.746276595744693	0.00366	0.00305
1800	0.908510638297885	0.00366	0.00366
1850	0.81117021276597	0.00061	0.00061
1900	1.20053191489363	0.0061	0.00427
1950	1.03829787234044	0.00305	0.00305
2000	1.20053191489363	0.00366	0.00488
2050	1.07074468085108	0.00305	0.00305
2100	1.13563829787235	0.00305	0.00366
2150	1.20053191489363	0.00427	0.00427
2200	1.39521276595746	0.00488	0.00427
2250	1.58989361702129	0.00549	0.00427
2300	1.88191489361703	0.00793	0.00549
2350	2.20638297872342	0.00915	0.00793
2400	2.1090425531915	0.00671	0.00488
2450	2.33617021276597	0.00732	0.00671
2500	2.1090425531915	0.00732	0.00671
