Distance from Center (cmd=annotatePeaks.pl BRG1_ER_Cluster4_peaks.bed hg38 -d BRG1_TagDir -hist 50 -size 5000)	BRG1_TagDir Coverage	BRG1_TagDir + Tags	BRG1_TagDir - Tags
-2500	1.56101364522417	0.00634666666666667	0.0056
-2450	1.6374269005848	0.00634666666666667	0.00504
-2400	1.6046783625731	0.00653333333333333	0.00485333333333334
-2350	1.6046783625731	0.00578666666666667	0.00634666666666667
-2300	1.46276803118908	0.00466666666666667	0.00690666666666667
-2250	1.37543859649123	0.00522666666666667	0.0056
-2200	1.25536062378168	0.00784	0.00485333333333334
-2150	1.16257309941521	0.00317333333333333	0.00448
-2100	1.21715399610137	0.0056	0.00392
-2050	1.17348927875244	0.00466666666666667	0.00354666666666667
-2000	1.16257309941521	0.00466666666666667	0.00410666666666667
-1950	1.17894736842105	0.00373333333333334	0.0028
-1900	1.26627680311891	0.00429333333333334	0.00504
-1850	1.34814814814815	0.0084	0.00485333333333333
-1800	1.35906432748538	0.00597333333333333	0.00466666666666667
-1750	1.4682261208577	0.00672	0.00597333333333334
-1700	1.45185185185185	0.00448	0.00541333333333334
-1650	1.47914230019493	0.00597333333333333	0.00429333333333333
-1600	1.51734892787524	0.00672	0.00578666666666667
-1550	1.47914230019493	0.00541333333333334	0.00448
-1500	1.55555555555556	0.00877333333333333	0.00616
-1450	1.65925925925926	0.00653333333333333	0.0056
-1400	1.68109161793372	0.00616	0.00392
-1350	1.68109161793372	0.00541333333333334	0.00690666666666667
-1300	1.62651072124756	0.00690666666666667	0.00634666666666667
-1250	1.6374269005848	0.00634666666666667	0.00653333333333333
-1200	1.70292397660819	0.00877333333333333	0.0056
-1150	1.89395711500975	0.00989333333333333	0.00690666666666667
-1100	2.01949317738792	0.0102666666666667	0.0084
-1050	2.06861598440546	0.00858666666666666	0.00485333333333334
-1000	2.07953216374269	0.00821333333333333	0.00802666666666667
-950	2.04132553606238	0.0102666666666667	0.00728
-900	1.81208576998051	0.00672	0.00690666666666667
-850	1.95399610136452	0.00989333333333333	0.00653333333333334
-800	1.95399610136452	0.00821333333333333	0.00597333333333333
-750	1.98674463937622	0.00821333333333333	0.00448
-700	2.12319688109162	0.00933333333333333	0.00821333333333333
-650	2.02495126705653	0.00616	0.00765333333333334
-600	2.09044834307992	0.00746666666666667	0.00690666666666667
-550	2.36881091617934	0.014	0.00765333333333333
-500	2.61988304093567	0.0147466666666667	0.00821333333333333
-450	2.89824561403509	0.01568	0.01064
-400	3.48771929824562	0.0199733333333333	0.0108266666666667
-350	4.20818713450293	0.0253866666666667	0.0084
-300	5.31072124756335	0.03528	0.00877333333333333
-250	6.42417153996102	0.0354666666666667	0.0138133333333333
-200	8.05068226120858	0.04368	0.0225866666666667
-150	9.20779727095517	0.04816	0.0220266666666667
-100	11.0471734892788	0.0453600000000001	0.02632
-50	12.3789473684211	0.0436800000000001	0.03584
0	12.8701754385965	0.03472	0.0427466666666667
50	12.635477582846	0.0434933333333334	0.0485333333333334
100	11.7021442495127	0.0197866666666667	0.0742933333333335
150	9.51345029239766	0.0182933333333333	0.0602933333333334
200	7.63586744639376	0.0108266666666667	0.0513333333333334
250	5.58908382066277	0.01176	0.0395733333333334
300	4.42105263157895	0.0121333333333333	0.0322933333333334
350	3.70604288499026	0.00970666666666666	0.0205333333333333
400	3.25302144249513	0.00709333333333333	0.0186666666666667
450	2.78908382066277	0.00765333333333333	0.01344
500	2.5270955165692	0.00578666666666667	0.01456
550	2.12319688109162	0.00634666666666667	0.01344
600	1.8775828460039	0.00597333333333333	0.00896
650	1.78479532163743	0.00746666666666666	0.01008
700	1.63196881091618	0.0056	0.00616
750	1.7738791423002	0.0108266666666667	0.00522666666666667
800	1.80116959064328	0.00522666666666667	0.00616
850	1.74658869395712	0.00578666666666667	0.0084
900	1.71929824561404	0.00392	0.00597333333333333
950	1.80116959064328	0.00877333333333333	0.00709333333333333
1000	1.73567251461988	0.00578666666666667	0.0056
1050	1.7738791423002	0.00690666666666667	0.00597333333333333
1100	1.8448343079922	0.00784	0.00989333333333333
1150	1.9103313840156	0.0104533333333333	0.00802666666666667
1200	1.95399610136452	0.00765333333333333	0.00672
1250	1.99766081871345	0.00709333333333333	0.00597333333333333
1300	2.03586744639376	0.00989333333333333	0.00597333333333333
1350	2.2541910331384	0.00914666666666667	0.0084
1400	2.35789473684211	0.0121333333333333	0.00952
1450	2.49980506822612	0.01176	0.00541333333333333
1500	2.75087719298246	0.01232	0.00709333333333334
1550	2.9692007797271	0.0110133333333333	0.01288
1600	2.9364522417154	0.01008	0.00896
1650	2.95282651072125	0.01512	0.0115733333333333
1700	2.79454191033139	0.00821333333333333	0.01064
1750	2.63625730994152	0.00933333333333333	0.01176
1800	2.41247563352827	0.00765333333333333	0.0115733333333333
1850	2.00311890838207	0.00466666666666667	0.00672
1900	1.76842105263158	0.00541333333333333	0.01176
1950	1.52280701754386	0.00634666666666667	0.00522666666666667
2000	1.42456140350877	0.00522666666666667	0.00597333333333333
2050	1.52280701754386	0.00653333333333333	0.00485333333333333
2100	1.55555555555556	0.00597333333333333	0.00578666666666667
2150	1.6374269005848	0.00858666666666666	0.00392
2200	1.62651072124756	0.00541333333333334	0.00746666666666667
2250	1.61559454191033	0.00690666666666667	0.00690666666666667
2300	1.54463937621832	0.00672	0.00672
2350	1.43001949317739	0.00709333333333333	0.00373333333333333
2400	1.53372319688109	0.00616	0.00616
2450	1.47368421052632	0.00504	0.00578666666666667
2500	1.44093567251462	0.00448	0.00373333333333334
