Distance from Center (cmd=annotatePeaks.pl BRG1_ER_Cluster3_peaks.bed hg38 -d BRG1_TagDir -hist 50 -size 5000)	BRG1_TagDir Coverage	BRG1_TagDir + Tags	BRG1_TagDir - Tags
-2350	0.834819288658806	0.00339672131147541	0.00380983606557377
-2300	0.836161441856006	0.00312131147540984	0.00325901639344262
-2250	0.834819288658806	0.0031672131147541	0.00358032786885246
-2200	0.877768190969227	0.00440655737704918	0.00275409836065574
-2150	0.914006327293644	0.00284590163934426	0.00312131147540984
-2100	0.930112165660052	0.00302950819672131	0.00348852459016394
-2050	1.00124628511169	0.00436065573770492	0.00348852459016393
-2000	0.959639535998466	0.00307540983606557	0.00422295081967213
-1950	0.943533697632059	0.0039016393442623	0.00468196721311476
-1900	0.979771833956476	0.00459016393442623	0.00385573770491803
-1850	0.965008148787269	0.00330491803278689	0.00362622950819672
-1800	0.973061067970473	0.00339672131147541	0.00289180327868852
-1750	0.981113987153677	0.00312131147540984	0.00367213114754099
-1700	0.990509059534081	0.00408524590163935	0.00431475409836066
-1650	1.00929920429489	0.00436065573770492	0.00422295081967213
-1600	1.04016872783051	0.00417704918032787	0.00376393442622951
-1550	1.17035758795897	0.00642622950819673	0.00371803278688525
-1500	1.26162400536861	0.00468196721311476	0.00436065573770492
-1450	1.36228549515866	0.00495737704918033	0.00477377049180328
-1400	1.40926085706068	0.00527868852459017	0.0052327868852459
-1350	1.38241779311667	0.00491147540983607	0.00518688524590164
-1300	1.32470520563704	0.00380983606557377	0.00601311475409837
-1250	1.31799443965104	0.00615081967213115	0.00624262295081968
-1200	1.26565046496022	0.00472786885245902	0.00573770491803279
-1150	1.18243696673377	0.00449836065573771	0.0044983606557377
-1100	1.25222893298821	0.00555409836065574	0.00454426229508197
-1050	1.20122711149458	0.00385573770491804	0.00504918032786885
-1000	1.18109481353657	0.00472786885245902	0.00335081967213115
-950	1.26833477135462	0.00573770491803279	0.00491147540983607
-900	1.30859936727064	0.00509508196721312	0.00500327868852459
-850	1.38107563991947	0.00592131147540984	0.00440655737704918
-800	1.48710574249832	0.00660983606557378	0.00509508196721312
-750	1.53542325759755	0.00615081967213115	0.0059672131147541
-700	1.56226632154156	0.00725245901639345	0.00578360655737706
-650	1.62534752180999	0.00711475409836066	0.00619672131147542
-600	1.67903364969802	0.00601311475409837	0.00592131147540984
-550	1.81727542900968	0.0100065573770492	0.0052327868852459
-500	1.90451538682772	0.00748196721311476	0.00624262295081968
-450	2.0655737704918	0.0115213114754099	0.00757377049180329
-400	2.23334292014188	0.0107868852459017	0.00757377049180329
-350	2.53130092992043	0.0143213114754099	0.00679344262295083
-300	2.83194324609338	0.0134032786885246	0.00748196721311476
-250	3.41175342728406	0.0212065573770492	0.00775737704918034
-200	4.23449333716806	0.025704918032787	0.010144262295082
-150	5.55517208321351	0.0338295081967214	0.0128065573770492
-100	6.87048221647015	0.0329573770491804	0.0129901639344263
-50	8.09049947272555	0.0336000000000001	0.0187737704918033
0	8.6045441472534	0.0284131147540984	0.0288262295081968
50	8.187134502924	0.020288524590164	0.0384655737704919
100	7.03825136612024	0.0154229508196722	0.0402557377049182
150	5.53503978525549	0.00986885245901641	0.0333245901639345
200	4.25462563512606	0.00904262295081969	0.029377049180328
250	3.22787843926756	0.0070688524590164	0.0187737704918033
300	2.59975074297766	0.00697704918032788	0.0142754098360656
350	2.24676445211389	0.00628852459016394	0.0123016393442623
400	1.98370242546256	0.00546229508196722	0.0104196721311476
450	1.79982743744607	0.00555409836065574	0.00996065573770494
500	1.61461029623238	0.00550819672131148	0.00784918032786886
550	1.43207746141309	0.00417704918032787	0.00693114754098362
600	1.39047071229987	0.00481967213114754	0.00660983606557378
650	1.36362764835586	0.00537049180327869	0.00628852459016394
700	1.32336305243984	0.00564590163934427	0.00445245901639344
750	1.28712491611542	0.00440655737704918	0.00504918032786886
800	1.27504553734062	0.00436065573770492	0.00527868852459017
850	1.22807017543859	0.00362622950819672	0.00518688524590164
900	1.18512127312817	0.00491147540983607	0.00564590163934427
950	1.07372255776052	0.00358032786885246	0.0039016393442623
1000	1.0361422682389	0.00321311475409836	0.00500327868852459
1050	1.0321158086473	0.00468196721311476	0.00436065573770492
1100	1.00527274470328	0.00431475409836066	0.00380983606557377
1150	1.01466781708369	0.00362622950819672	0.00385573770491803
1200	1.05090595340811	0.00394754098360656	0.00371803278688525
1250	1.06701179177451	0.00454426229508197	0.00348852459016394
1300	1.13143514524015	0.00459016393442623	0.0039016393442623
1350	1.12740868564854	0.00362622950819672	0.00477377049180328
1400	1.07640686415492	0.00302950819672131	0.00422295081967213
1450	1.07238040456332	0.00394754098360656	0.00468196721311475
1500	1.02406288946409	0.00385573770491803	0.00481967213114754
1550	0.977087527562071	0.00436065573770492	0.00408524590163935
1600	1.00124628511168	0.00358032786885246	0.00394754098360656
1650	0.999904131914482	0.0046360655737705	0.00417704918032787
1700	0.998561978717281	0.00399344262295082	0.00339672131147541
1750	0.998561978717281	0.00307540983606557	0.00358032786885246
1800	0.95561307640686	0.00252459016393443	0.00422295081967213
1850	0.908637714504837	0.00312131147540984	0.00302950819672131
1900	0.864346658997216	0.0028	0.00454426229508197
1950	0.806634071517588	0.0031672131147541	0.0035344262295082
2000	0.834819288658801	0.00408524590163935	0.0042688524590164
2050	0.809318377911989	0.00348852459016394	0.00298360655737705
2100	0.821397756686795	0.00312131147540984	0.00321311475409836
2150	0.844214361039206	0.00367213114754098	0.00247868852459016
2200	0.881794650560824	0.00358032786885246	0.00298360655737705
2250	0.93413862525165	0.00436065573770492	0.00257049180327869
2300	1.00258843830888	0.00371803278688525	0.00362622950819672
2350	1.07372255776052	0.00403934426229508	0.00408524590163935
2400	1.07774901735212	0.00321311475409836	0.00367213114754098
2450	1.07909117054932	0.00376393442622951	0.00390163934426229
2500	1.10324992809893	0.00417704918032787	0.00537049180327869
