Distance from Center (cmd=annotatePeaks.pl E2_ER_overlaps.bed hg38 -d Vehicle_TagDir E2_TagDir -hist 50 -size 5000)	Vehicle_TagDir Coverage	Vehicle_TagDir + Tags	Vehicle_TagDir - Tags	E2_TagDir Coverage	E2_TagDir + Tags	E2_TagDir - Tags
-2500	2.70486965076242	0.00391214953271028	0.0221121495327103	5.73580158159598	0.0109009345794393	0.0466317757009346
-2450	2.58337432365962	0.00476261682242991	0.00646355140186916	5.48540618260245	0.0101439252336449	0.0127177570093458
-2400	2.13575996064929	0.0110560747663551	0.00493271028037383	4.2217828900072	0.0171084112149533	0.0127177570093458
-2350	2.64092474176094	0.015818691588785	0.00952523364485981	5.46211358734724	0.0240728971962617	0.0239214953271028
-2300	2.94146581406788	0.00544299065420561	0.0129271028037383	5.63680805176133	0.0113551401869159	0.0233158878504673
-2250	3.03738317757009	0.0124168224299065	0.00476261682242991	5.58439971243711	0.0222560747663552	0.0115065420560748
-2200	3.68962124938515	0.0132672897196262	0.0108859813084112	7.3138749101366	0.0314915887850467	0.0271009345794393
-2150	4.46974913920315	0.0107158878504673	0.0144579439252336	8.72890007189073	0.00862990654205608	0.0278579439252337
-2100	5.19872110181997	0.0413327102803738	0.00901495327102803	10.3593817397556	0.0829682242990654	0.0125663551401869
-2050	6.5735366453517	0.0103757009345794	0.0442242990654205	13.7484543493889	0.021196261682243	0.0938691588785048
-2000	5.53123462862764	0.0103757009345794	0.0124168224299065	11.6637670740475	0.0195308411214953	0.0266467289719626
-1950	6.24102311854402	0.0442242990654205	0.0132672897196262	13.3350107836089	0.0994710280373831	0.0252841121495327
-1900	4.8662075750123	0.00782429906542056	0.0479663551401869	10.5282530553559	0.0118093457943925	0.112945794392523
-1850	3.19724545007378	0.00493271028037383	0.00561308411214953	6.60345075485263	0.0118093457943925	0.0116579439252337
-1800	2.64092474176094	0.00306168224299065	0.00629345794392523	4.53623292595256	0.00893271028037383	0.0084785046728972
-1750	2.42990654205607	0.00663364485981308	0.00493271028037383	4.79245147375989	0.0134747663551402	0.00802429906542056
-1700	2.94786030496803	0.0212616822429906	0.00595327102803738	6.37052480230051	0.0496598130841122	0.00953831775700935
-1650	3.42105263157895	0.0171794392523364	0.0236429906542056	7.43616103522646	0.0380018691588785	0.0467831775700935
-1600	2.65371372356124	0.00374205607476636	0.0120766355140187	5.9570812365205	0.00968971962616823	0.0237700934579439
-1550	2.32759468765371	0.00493271028037383	0.00493271028037383	5.13601725377427	0.00817570093457944	0.012414953271028
-1500	1.61780619773733	0.00748411214953271	0.00391214953271028	3.14450035945364	0.014988785046729	0.00651028037383177
-1450	2.51942941465814	0.00510280373831776	0.0034018691588785	5.09525521207765	0.0125663551401869	0.00862990654205608
-1400	3.88145597638957	0.0100355140186916	0.00884485981308411	7.90783608914451	0.0224074766355141	0.0146859813084112
-1350	6.66945400885391	0.0267046728971962	0.00918504672897195	14.3132997843278	0.0619233644859813	0.0236186915887851
-1300	8.87555336940482	0.0413327102803738	0.031807476635514	19.5832494608196	0.0949289719626168	0.0613177570093458
-1250	9.73241515002459	0.054770093457944	0.0471158878504673	21.7785765636233	0.120970093457943	0.0996224299065419
-1200	8.48548942449582	0.00986542056074766	0.0651457943925235	18.7272465851905	0.0181682242990654	0.141409345794392
-1150	5.68470241023118	0.00561308411214953	0.0125869158878505	12.385837526959	0.0151401869158879	0.0227102803738318
-1100	4.44417117560256	0.0193906542056075	0.00561308411214953	10.1322789360173	0.0563214953271029	0.0143831775700935
-1050	2.91588785046729	0.00816448598130841	0.0224523364485981	7.40704529115747	0.0190766355140187	0.0508710280373832
-1000	2.41711756025578	0.00748411214953271	0.00714392523364486	5.94543493889291	0.0166542056074767	0.0193794392523365
-950	2.94146581406788	0.00510280373831776	0.00867476635514018	6.24823867721067	0.0122635514018692	0.0168056074766355
-900	3.29316281357599	0.00833457943925233	0.00476261682242991	7.05765636232929	0.0158971962616823	0.00968971962616823
-850	5.23069355632071	0.0389514018691588	0.00612336448598131	11.7103522645579	0.0991682242990653	0.0107495327102804
-800	5.3905558288244	0.0146280373831776	0.0445644859813084	12.5605319913731	0.0381532710280374	0.0912953271028038
-750	4.80865715691097	0.0202411214953271	0.0149682242990654	11.3085549964055	0.0504168224299066	0.0343682242990654
-700	5.19872110181997	0.00459252336448598	0.0176897196261682	11.8908698777858	0.0109009345794393	0.0351252336448598
-650	5.05164781111657	0.0346990654205607	0.00374205607476636	11.6695902228613	0.0778205607476636	0.0101439252336449
-600	5.12838170191835	0.0197308411214953	0.0312971962616822	11.7511143062545	0.0532934579439252	0.0654056074766356
-550	5.03885882931628	0.00935514018691588	0.0224523364485981	12.1820273184759	0.0248299065420561	0.0487514018691589
-500	4.60403344810625	0.00833457943925233	0.0119065420560748	10.8135873472322	0.0175626168224299	0.0316429906542057
-450	4.25233644859813	0.0263644859813084	0.00714392523364486	10.1672178289001	0.0640429906542056	0.0157457943925234
-400	4.73831775700934	0.00833457943925233	0.0306168224299065	11.7161754133717	0.0255869158878505	0.06616261682243
-350	4.62321692080669	0.0311271028037383	0.00595327102803738	11.4133716750539	0.0675252336448599	0.0210448598130841
-300	4.42498770290211	0.0115663551401869	0.0299364485981308	10.2662113587347	0.0216504672897197	0.0770635514018692
