Distance from Center (cmd=annotatePeaks.pl E2_exclusive.bed hg38 -d Vehicle_TagDir E2_TagDir -hist 50 -size 5000)	Vehicle_TagDir Coverage	Vehicle_TagDir + Tags	Vehicle_TagDir - Tags	E2_TagDir Coverage	E2_TagDir + Tags	E2_TagDir - Tags
-2500	0.983039923332117	0.00361269474899017	0.003653535936398	1.95991388876566	0.00734541257934265	0.00753237160992562
-2450	0.980539442470413	0.00336064627813041	0.00341899083157017	1.95028629766086	0.00674298903635342	0.00665054818234301
-2400	0.976810655220503	0.00359635827402705	0.003556683977688	1.9562785742821	0.00718961338719022	0.00663808424697082
-2350	0.981899353114498	0.00389041482336342	0.00335947938706162	1.99754538594707	0.00810155799192228	0.00657576457010985
-2300	0.988874378676094	0.00364653458998523	0.00383557094313003	2.01196679834886	0.00767362954414365	0.00768713214079696
-2250	0.975494612661711	0.00355668397768799	0.00342249150477655	2.02095521328073	0.00762273514137386	0.00679492210040422
-2200	0.967379016882496	0.00346099891004679	0.00344582932615245	2.03042301034229	0.00723843046739799	0.0069289094056553
-2150	0.976284238196986	0.00387874591267546	0.00337698275309354	2.06393981091045	0.00813791113675772	0.00679180611656118
-2100	0.981943221199791	0.00357768801692632	0.00360919407578377	2.10005326468115	0.00760715522215862	0.00765597230236646
-2050	1.00326311065222	0.00379589664679101	0.00335131114958006	2.13972213591378	0.007889671090595	0.00707120600115448
-2000	1.02765376607515	0.0040631147015451	0.00351817657241776	2.19628922721832	0.00860011540680986	0.00761858049624988
-1950	1.03015424693686	0.00370371225235619	0.00378656151824062	2.20839362599323	0.008021581073284	0.00809428736295521
-1900	1.04730666828644	0.00398259921779824	0.00379122908251582	2.24818234275829	0.00855545297172608	0.00799976918638271
-1850	1.04208636613657	0.00379239597358463	0.00349483875104185	2.27155222158114	0.00821581073283391	0.00752717830352047
-1800	1.07003033646825	0.00390208373405136	0.00372354940052572	2.37885392161222	0.00903739180611758	0.00779411425274158
-1750	1.10262432384099	0.00444585497210992	0.00373871898442003	2.48120200630306	0.0101861511829208	0.00851390652048566
-1700	1.1253041239375	0.00415879976918629	0.00413312816567277	2.55830263216307	0.00978938257357289	0.00927420657818921
-1650	1.12569893670513	0.00416346733346148	0.00394642559466555	2.57064672200283	0.00942065781881238	0.00913814195037624
-1600	1.13556925589607	0.00418447137269982	0.00400710393024294	2.57655910160245	0.00960034622042804	0.00876214656664845
-1550	1.11990834944645	0.00405961402833872	0.00400943771238052	2.59181943273122	0.0100438545874218	0.00872890940565597
-1500	1.11977674519057	0.00409928832467776	0.00403044175161883	2.66332726707807	0.0101103289094068	0.00886912867859312
-1450	1.13385840056964	0.00438400974546377	0.00393242290184002	2.7569665764127	0.0110472013848826	0.00912879399884712
-1400	1.12697111117863	0.00395926139642232	0.00415879976918628	2.80358648852598	0.0101248701673411	0.009848586266591
-1350	1.15184431553979	0.004667564275181	0.00398843367314219	2.87133916285685	0.0113723023658406	0.00979249855741623
-1300	1.17671751990096	0.00428132333140981	0.00406778226582026	2.95267433086253	0.0107750721292569	0.010046970571265
-1250	1.20308223916208	0.00446102455600427	0.00395226005000955	3.00688446002938	0.0113369878822862	0.00988701673398873
-1200	1.22234032860573	0.00455320895043906	0.00445752388279786	3.08718096675405	0.012068205424121	0.011039930755916
-1150	1.22370023924982	0.00451470154516884	0.00464422645380508	3.14578543210982	0.0118978649740343	0.0112715522215824
-1100	1.23010497970261	0.00465122780021787	0.00422531256010762	3.2059478893871	0.0119373341027129	0.0106400461627252
-1050	1.2465555116875	0.00500596268513161	0.00426265307430906	3.30737715832936	0.0130123485285636	0.0109516445470296
-1000	1.28419432886894	0.00458471500929654	0.00446102455600424	3.4424430733722	0.0131037507212929	0.0119155222158117
