Distance from Center (cmd=annotatePeaks.pl Cluster4_DRIP_peaks.bed hg38 -d Vehicle_TagDir E2_TagDir -hist 50 -size 5000)	Vehicle_TagDir Coverage	Vehicle_TagDir + Tags	Vehicle_TagDir - Tags	E2_TagDir Coverage	E2_TagDir + Tags	E2_TagDir - Tags
-2500	1.11184210526316	0.005915	0.00182	2.04057692307692	0.006885	0.00648
-2450	1.06052631578947	0.000455	0.00273	1.88480769230769	0.00567	0.00648
-2400	1.02631578947368	0.00455	0.00364	2.07173076923077	0.01215	0.0081
-2350	0.838157894736842	0.00364	0.00546	1.86923076923077	0.003645	0.006075
-2300	0.632894736842105	0	0.00182	1.80692307692308	0.00486	0.005265
-2250	0.632894736842105	0.001365	0.00364	1.99384615384615	0.008505	0.005265
-2200	0.376315789473684	0.00182	0.002275	1.88480769230769	0.00729	0.009315
-2150	0.376315789473684	0.00182	0.00091	1.8225	0.00567	0.005265
-2100	0.615789473684211	0.004095	0.00091	2.14961538461538	0.00891	0.010125
-2050	0.564473684210526	0.00091	0.00182	1.90038461538462	0.008505	0.00486
-2000	0.769736842105263	0.004095	0.00182	2.38326923076923	0.015795	0.007695
-1950	0.786842105263158	0.002275	0.004095	2.55461538461538	0.006075	0.007695
-1900	0.632894736842105	0.002275	0.000455	2.53903846153846	0.01053	0.00567
-1850	0.735526315789474	0.00455	0.003185	2.53903846153846	0.007695	0.01053
-1800	0.872368421052632	0.00637	0.00364	2.57019230769231	0.01053	0.009315
-1750	0.889473684210526	0.003185	0	3.05307692307692	0.020655	0.00648
-1700	0.957894736842105	0.003185	0.00273	3.16211538461538	0.009315	0.010125
-1650	0.923684210526316	0.003185	0.003185	3.31788461538462	0.01053	0.01377
-1600	0.855263157894737	0.00182	0.00182	3.30230769230769	0.013365	0.00972
-1550	0.94078947368421	0.004095	0.005005	3.19326923076923	0.01215	0.008505
-1500	1.09473684210526	0.00364	0.00364	3.89423076923077	0.023895	0.01539
-1450	1.12894736842105	0.00364	0.00091	3.83192307692308	0.016605	0.01134
-1400	1.07763157894737	0.00182	0.005005	3.97211538461539	0.013365	0.00972
-1350	1.18026315789474	0.005915	0.01092	4.40826923076923	0.023085	0.01215
-1300	0.735526315789473	0.00182	0.00091	4.08115384615385	0.01701	0.010125
-1250	0.872368421052631	0.00182	0.002275	3.94096153846154	0.010125	0.014985
-1200	1.06052631578947	0.006825	0.004095	4.09673076923077	0.02349	0.00972
-1150	0.906578947368421	0.001365	0.00182	3.76961538461538	0.011745	0.011745
-1100	0.975	0.003185	0.00637	3.70730769230769	0.014985	0.012555
-1050	0.752631578947368	0.00182	0.004095	3.42692307692308	0.007695	0.01134
-1000	0.752631578947368	0.00182	0.00091	3.13096153846154	0.01377	0.01053
-950	0.975	0.004095	0.00637	3.13096153846154	0.009315	0.008505
-900	0.923684210526316	0.00273	0.00091	3.25557692307692	0.01134	0.00891
-850	1.16315789473684	0.00364	0.00455	4.01884615384615	0.02187	0.013365
-800	1.11184210526316	0.004095	0.00728	4.455	0.02106	0.014175
-750	0.786842105263158	0.00182	0.003185	4.73538461538462	0.012555	0.01458
-700	0.718421052631579	0.00273	0.005005	4.53288461538462	0.010125	0.0162
-650	0.786842105263158	0.00455	0.00091	3.81634615384615	0.008505	0.0162
-600	0.786842105263158	0.00091	0.00182	3.75403846153846	0.018225	0.01701
-550	0.889473684210526	0.005005	0.003185	3.67615384615385	0.014175	0.015795
-500	0.821052631578947	0.003185	0.003185	4.2525	0.01377	0.012555
-450	0.786842105263158	0.00273	0.00364	4.26807692307692	0.01701	0.014175
-400	0.769736842105263	0.002275	0.00091	4.26807692307692	0.015795	0.0162
-350	0.906578947368421	0.00637	0.005005	5.79461538461538	0.049005	0.02025
-300	0.855263157894737	0.004095	0.00182	6.80711538461538	0.03645	0.012555
-250	0.957894736842105	0.002275	0.00182	7.14980769230769	0.015795	0.01458
-200	0.940789473684211	0.002275	0.003185	7.30557692307692	0.031995	0.019845
-150	0.992105263157895	0.00182	0.003185	6.96288461538461	0.02187	0.027135
-100	0.940789473684211	0.00273	0.004095	8.38038461538461	0.0558900000000001	0.01944
-50	1.06052631578947	0.00455	0.004095	10.5767307692308	0.0449550000000001	0.024705
0	1.09473684210526	0.005005	0.00546	11.4957692307692	0.039285	0.03159
50	1.33421052631579	0.00546	0.00455	10.3275	0.01863	0.0449550000000001
100	1.40263157894737	0.00546	0.004095	8.42711538461538	0.02025	0.0486000000000001
150	1.41973684210526	0.00455	0.00455	6.74480769230769	0.026325	0.02754
200	1.28289473684211	0.002275	0.007735	6.32423076923077	0.01863	0.022275
250	1.07763157894737	0.00364	0.00364	6.43326923076923	0.025515	0.032805
300	0.906578947368421	0.003185	0.002275	5.96596153846154	0.01701	0.016605
350	0.872368421052632	0.00273	0.005915	6.05942307692308	0.02025	0.02268
400	0.786842105263158	0.005915	0.002275	5.84134615384615	0.022275	0.027945
450	0.923684210526316	0.00273	0.00182	5.18711538461538	0.01782	0.01782
500	0.906578947368421	0.00091	0.001365	5.35846153846154	0.019845	0.01863
550	0.906578947368421	0.002275	0.00091	4.95346153846154	0.01701	0.0162
600	0.992105263157895	0.006825	0.007735	4.53288461538461	0.01215	0.021465
650	0.889473684210527	0.003185	0.00273	5.15596153846154	0.016605	0.01296
700	0.923684210526316	0.00364	0.003185	5.00019230769231	0.012555	0.01458
750	1.09473684210526	0.00455	0.001365	4.84442307692307	0.012555	0.021465
800	0.906578947368421	0.001365	0.00455	4.23692307692308	0.01296	0.028755
